FID,X,Y
317,114.0700324,22.43917926
318,114.0687101,22.43825028
319,114.0691643,22.4376743
320,113.9955363,22.43494867
321,113.9966516,22.43535248
322,113.9956086,22.43409678
323,113.9961344,22.43429545
324,113.9981028,22.43495811
325,114.0009261,22.43529746
326,113.9983984,22.43634648
327,114.0033591,22.4375268
328,114.0038922,22.43476628
329,114.0050416,22.43560964
330,114.0084668,22.43702317
331,114.0156681,22.43749411
332,114.0173876,22.4368054
333,114.0224653,22.43528738
334,114.0196246,22.43594448
335,114.0224327,22.43630579
336,114.0248376,22.43537388
337,114.0251683,22.43662813
338,114.0266758,22.43732636
339,114.0287176,22.43759733
340,114.0285155,22.43674023
341,114.0287214,22.43519951
342,114.0298067,22.43509504
343,114.0293836,22.4367375
344,114.0351396,22.43620027
345,114.0347199,22.43666871
346,114.058968,22.43687729
347,114.0611112,22.43521501
348,114.0679894,22.43702182
349,114.0678786,22.43630705
350,114.0668517,22.43526252
351,114.06725,22.43743842
352,113.9960912,22.43293659
353,113.9946695,22.43141537
354,113.9961846,22.43348266
355,113.9970111,22.43384521
356,113.9971405,22.43323092
357,113.9982842,22.43401301
358,114.0006434,22.42770788
359,114.0032372,22.43369378
360,114.0031348,22.43407189
361,114.0267575,22.43453055
362,114.0227276,22.42764707
363,114.0379817,22.42579825
364,114.0306465,22.43391954
365,114.0300022,22.43401838
366,114.0308994,22.42263761
367,114.0286066,22.4342184
368,114.0319734,22.43410408
369,114.0624682,22.4326907
370,114.0624028,22.43280656
371,114.0623374,22.43292242
372,114.0622721,22.43303828
373,114.0622073,22.43312489
374,114.0621425,22.4332115
375,114.0620771,22.43332736
376,114.061996,22.43344293
377,114.0619312,22.43352954
378,114.0618821,22.43361643
379,114.0618167,22.43373229
380,114.0617193,22.43387683
381,114.061606,22.43402108
382,114.0615413,22.43410769
383,114.0614928,22.43416533
384,114.0612991,22.43439591
385,114.0611054,22.43462648
386,114.0610245,22.43472743
387,114.0608777,22.43497348
388,114.0606516,22.43524736
389,114.0625697,22.43318969
390,114.0666533,22.42664662
391,114.0648635,22.43367589
392,114.0684744,22.43033268
393,114.0641865,22.42712961
394,114.0625336,22.43257484
395,114.0694335,22.42349663
396,114.0688695,22.42527748
397,114.0687559,22.42543526
398,114.0665511,22.42109701
399,114.0646411,22.4214008
400,114.0655156,22.42120884
401,114.0697177,22.4217081
402,114.0682078,22.42134565
403,114.0087465,22.45666166
404,114.0292048,22.44644675
405,114.0302088,22.44682342
406,114.0515942,22.45653655
407,114.028916,22.44607235
